Name,Lat,Lon,tp_probb,tp_probn,tp_proba
CRESSY RESEARCH STATION (MAIN OFFICE),-41.724,147.08,33.2666893005371,34.9785614013672,31.7547492980957
CROOBLE STATION,-29.274,150.266,29.5933227539062,31.7842350006104,38.6224403381348
CROOKED CORNER (WINGADEENA),-34.235,149.265,32.7662963867188,29.0440559387207,38.1896476745605
CROOKED RIVER,-37.381,147.107,32.0040054321289,33.7616081237793,34.2343864440918
CROOKWELL (GUNDOWRINGA),-34.544,149.574,30.2677421569824,31.7085781097412,38.0236778259277
CROOKWELL POST OFFICE,-34.458,149.469,32.7662963867188,29.0440559387207,38.1896476745605
CROPPA CREEK (KRUI PLAINS),-28.992,150.017,29.767707824707,31.7614803314209,38.4708137512207
CRYSTAL BROOK,-33.353,138.206,29.5622119903564,33.5639190673828,36.8738670349121
CRYSTAL BROOK,-27.127,151.492,30.5867137908936,33.2469673156738,36.1663208007812
CRYSTAL BROOK SECTION 299,-33.35,138.103,29.5622119903564,33.5639190673828,36.8738670349121
CUDAL POST OFFICE,-33.287,148.74,30.6172542572021,30.9080352783203,38.4747085571289
CUDLEE CREEK (MILLBROOK),-34.833,138.822,30.9613094329834,34.2044410705566,34.8342514038086
CUE,-27.423,117.899,17.1698570251465,30.1829586029053,52.6471862792969
CULBURRA TREATMENT WORKS,-34.928,150.748,29.9484767913818,32.5022964477539,37.5492286682129
CULCAIRN BOWLING CLUB,-35.672,147.036,28.5586967468262,33.5217971801758,37.919506072998
CULFORD,-32.57,116.439,31.3476238250732,34.5436134338379,34.1087646484375
CULGOA,-35.717,143.107,32.5095329284668,31.7816009521484,35.7088661193848
CUMMINS,-34.264,135.727,29.3180408477783,36.7294235229492,33.9525337219238
CUNDERDIN AIRFIELD,-31.622,117.222,26.8949317932129,31.3789386749268,41.726131439209
CUNNAMULLA POST OFFICE,-28.071,145.681,27.7390079498291,31.5584125518799,40.702579498291
CUNYU,-25.708,120.348,21.3413238525391,31.1999588012695,47.4587173461914
CURBAN (ERCILDOUNE),-31.556,148.598,29.619930267334,30.9357166290283,39.4443550109863
CURLEWIS POST OFFICE,-31.117,150.268,28.6440277099609,31.7486152648926,39.6073570251465
CURNOMONA (CURNAMONA),-31.652,139.549,30.9737815856934,33.0082473754883,36.0179710388184
CURRAMULKA,-34.698,137.712,30.8113632202148,34.3486404418945,34.8399963378906
CURRIE (MAIN STREET),-39.929,143.851,32.9260711669922,33.9147109985352,33.1592178344727
CURTIN SPRINGS,-25.314,131.757,31.0436153411865,31.5444297790527,37.4119567871094
CUTTABRI (ATHLONE),-30.348,149.133,28.2588691711426,31.5140743255615,40.2270584106445
CYGNET BAY,-16.451,123.009,33.3560485839844,31.4233379364014,35.2206115722656
DALBY AIRPORT,-27.161,151.263,30.5867137908936,33.2469673156738,36.1663208007812
DALGETY (HAMILTON ST),-36.503,148.835,32.8492279052734,31.9614105224609,35.1893615722656
DALMALLY,-26.8,148.599,27.5261764526367,33.9153747558594,38.5584487915039
DALTON (MILVERTON),-34.715,148.992,32.7662963867188,29.0440559387207,38.1896476745605
DALTON (ROSE VALLEY),-34.717,149.121,32.7662963867188,29.0440559387207,38.1896476745605
DALVEEN,-28.5,151.972,29.904541015625,33.3644332885742,36.7310256958008
